row,column,hidden_layers,hidden_size,learning_rate,activation,optimizer,hp,surprisal,accuracy,good_outcomes,bad_outcomes
0,0,1,8,0.01,SiLU,SGD,65,0.9969586349416099,0.369,369,631
0,1,1,8,0.01,LeakyReLU,SGD,113,0.9441759353636907,0.389,389,611
0,2,1,8,0.01,Hardswish,SGD,-61,1.0356374895067213,0.355,355,645
0,3,1,8,0.01,SiLU,SGD,107,0.9364934391916745,0.392,392,608
0,4,1,8,0.01,SiLU,SGD,37,0.9545119446943529,0.385,385,615
0,5,1,8,0.01,Mish,SGD,-182,1.0817551716016867,0.339,339,661
0,6,1,8,0.01,Mish,SGD,177,0.9888614247089905,0.372,372,628
0,7,1,8,0.01,PReLU,SGD,136,0.9063404010209869,0.404,404,596
0,8,1,8,0.01,ReLU,SGD,-149,1.0966142860054366,0.334,334,666
0,9,1,8,0.01,SiLU,SGD,87,0.9702190738997107,0.379,379,621
0,10,1,8,0.01,LeakyReLU,SGD,60,1.0498221244986778,0.35,350,650
0,11,1,8,0.01,Hardswish,SGD,26,1.0966142860054366,0.334,334,666
0,12,1,8,0.01,SiLU,SGD,-275,1.1874435023747254,0.305,305,695
0,13,1,8,0.01,ReLU6,SGD,289,0.9213032736976993,0.398,398,602
0,14,1,8,0.01,LeakyReLU,SGD,-219,1.1301029557594804,0.323,323,677
0,15,1,8,0.01,PReLU,SGD,86,1.05268335677971,0.349,349,651
0,16,1,8,0.01,Softplus,SGD,-163,1.1647520911726548,0.312,312,688
0,17,1,8,0.01,ELU,SGD,127,0.9834994815676051,0.374,374,626
0,18,1,8,0.01,PReLU,SGD,133,0.9339456671128757,0.393,393,607
0,19,1,8,0.01,Hardswish,SGD,-132,1.2006450142332614,0.301,301,699
0,20,1,8,0.01,Hardswish,SGD,-51,1.0847093834991182,0.338,338,662
0,21,1,8,0.01,SiLU,SGD,-90,1.0936247471570706,0.335,335,665
0,22,1,8,0.01,CELU,SGD,376,0.8533159327127666,0.426,426,574
0,23,1,8,0.01,ReLU,SGD,-38,1.0729445419195318,0.342,342,658
0,24,1,8,0.01,SELU,SGD,255,0.9038682118755978,0.405,405,595
0,25,1,8,0.01,CELU,SGD,-21,1.0356374895067213,0.355,355,645
0,26,1,8,0.01,LeakyReLU,SGD,32,0.9649559038554361,0.381,381,619
0,27,1,8,0.01,PReLU,SGD,134,0.9187938620922735,0.399,399,601
0,28,1,8,0.01,CELU,SGD,61,0.9969586349416099,0.369,369,631
0,29,1,8,0.01,LeakyReLU,SGD,-61,1.1394342831883648,0.32,320,680
0,30,1,8,0.01,ReLU6,SGD,21,1.0700248318161971,0.343,343,657
0,31,1,8,0.01,ReLU,SGD,227,0.9038682118755978,0.405,405,595
0,32,1,8,0.01,Softplus,SGD,177,0.9702190738997107,0.379,379,621
0,33,1,8,0.01,ReLU,SGD,120,0.9781661355922425,0.376,376,624
0,34,1,8,0.01,ELU,SGD,428,0.7985076962177716,0.45,450,550
0,35,1,8,0.01,Mish,SGD,-135,1.0906441190189327,0.336,336,664
0,36,1,8,0.01,SELU,SGD,341,0.8651224452997557,0.421,421,579
0,37,1,8,0.01,Hardswish,SGD,-58,1.05268335677971,0.349,349,651
0,38,1,8,0.01,LeakyReLU,SGD,140,0.991553216374702,0.371,371,629
0,39,1,8,0.01,ELU,SGD,92,0.9808292530117262,0.375,375,625
0,40,1,8,0.01,Softplus,SGD,103,0.908818717035454,0.403,403,597
0,41,1,8,0.01,Softplus,SGD,-16,1.0078579253996456,0.365,365,635
0,42,1,8,0.01,ReLU6,SGD,-21,1.0671136216087387,0.344,344,656
0,43,1,8,0.01,PReLU,SGD,-206,1.1270117631898076,0.324,324,676
0,44,1,8,0.01,ELU,SGD,90,0.9213032736976993,0.398,398,602
0,45,1,8,0.01,ELU,SGD,105,0.9288695140810151,0.395,395,605
0,46,1,8,0.01,Mish,SGD,81,0.9187938620922735,0.399,399,601
0,47,1,8,0.01,Mish,SGD,-14,1.0133524447172864,0.363,363,637
0,48,1,8,0.01,PReLU,SGD,376,0.816445396904439,0.442,442,558
0,49,1,8,0.01,Mish,SGD,1,1.0244328904938582,0.359,359,641
1,0,1,8,0.01,Hardswish,SGD,-195,1.1679623668029029,0.311,311,689
1,1,1,8,0.01,ReLU,SGD,173,0.8915981192837836,0.41,410,590
1,2,1,8,0.01,ReLU,SGD,-5,1.1086626245216111,0.33,330,670
1,3,1,8,0.01,SiLU,SGD,-69,1.0613165039244128,0.346,346,654
1,4,1,8,0.01,ELU,SGD,276,0.8675005677047231,0.42,420,580
1,5,1,8,0.01,Softplus,SGD,28,1.05268335677971,0.349,349,651
1,6,1,8,0.01,Hardswish,SGD,62,1.018877320649256,0.361,361,639
1,7,1,8,0.01,Softplus,SGD,41,0.9861768593383216,0.373,373,627
1,8,1,8,0.01,ReLU,SGD,19,1.04412410338404,0.352,352,648
1,9,1,8,0.01,SiLU,SGD,95,1.0216512475319814,0.36,360,640
1,10,1,8,0.01,Mish,SGD,255,0.9649559038554361,0.381,381,619
1,11,1,8,0.01,Hardswish,SGD,32,1.030019497202498,0.357,357,643
1,12,1,8,0.01,ReLU6,SGD,-141,1.0876723486297752,0.337,337,663
1,13,1,8,0.01,SELU,SGD,544,0.7507762933965817,0.472,472,528
1,14,1,8,0.01,SiLU,SGD,116,0.9213032736976993,0.398,398,602
1,15,1,8,0.01,ReLU6,SGD,73,1.0412872220488403,0.353,353,647
1,16,1,8,0.01,ReLU,SGD,243,0.9493305859523552,0.387,387,613
1,17,1,8,0.01,Mish,SGD,-26,1.0272222925814367,0.358,358,642
