,row,column,hidden_layers,hidden_size,learning_rate,activation,optimizer,hp,surprisal,accuracy,good_outcomes,bad_outcomes
0,0,0,1,8,0.01,SiLU,SGD,-90,1.7719568419318752,0.17,17,83
1,0,1,1,8,0.01,LeakyReLU,SGD,144,0.5447271754416722,0.58,58,42
2,0,2,1,8,0.01,Hardswish,SGD,7,1.4271163556401458,0.24,24,76
3,0,3,1,8,0.01,SiLU,SGD,-1,1.0498221244986778,0.35,35,65
4,0,4,1,8,0.01,SiLU,SGD,73,1.1086626245216111,0.33,33,67
5,0,5,1,8,0.01,Mish,SGD,-14,1.3470736479666092,0.26,26,74
6,0,6,1,8,0.01,Mish,SGD,9,1.3470736479666092,0.26,26,74
7,0,7,1,8,0.01,PReLU,SGD,95,0.843970070294529,0.43,43,57
8,0,8,1,8,0.01,ReLU,SGD,-4,1.1086626245216111,0.33,33,67
9,0,9,1,8,0.01,SiLU,SGD,64,0.941608539858445,0.39,39,61
10,0,10,1,8,0.01,LeakyReLU,SGD,69,1.0498221244986778,0.35,35,65
11,0,11,1,8,0.01,Hardswish,SGD,69,1.2039728043259361,0.3,30,70
12,0,12,1,8,0.01,SiLU,SGD,10,1.2729656758128873,0.28,28,72
13,0,13,1,8,0.01,ReLU6,SGD,37,1.1086626245216111,0.33,33,67
14,0,14,1,8,0.01,LeakyReLU,SGD,47,1.0216512475319814,0.36,36,64
15,0,15,1,8,0.01,PReLU,SGD,95,1.1394342831883648,0.32,32,68
16,0,16,1,8,0.01,Softplus,SGD,102,0.916290731874155,0.4,40,60
17,0,17,1,8,0.01,ELU,SGD,44,0.941608539858445,0.39,39,61
18,0,18,1,8,0.01,PReLU,SGD,121,0.616186139423817,0.54,54,46
19,0,19,1,8,0.01,Hardswish,SGD,96,0.941608539858445,0.39,39,61
20,0,20,1,8,0.01,Hardswish,SGD,-67,1.5606477482646683,0.21,21,79
21,0,21,1,8,0.01,SiLU,SGD,27,0.7339691750802004,0.48,48,52
22,0,22,1,8,0.01,CELU,SGD,147,0.579818495252942,0.56,56,44
23,0,23,1,8,0.01,ReLU,SGD,-17,1.6094379124341003,0.2,20,80
24,0,24,1,8,0.01,SELU,SGD,72,0.9675840262617056,0.38,38,62
25,0,25,1,8,0.01,CELU,SGD,100,0.7985076962177716,0.45,45,55
26,0,26,1,8,0.01,LeakyReLU,SGD,-8,1.0498221244986778,0.35,35,65
27,0,27,1,8,0.01,PReLU,SGD,108,0.4462871026284195,0.64,64,36
28,0,28,1,8,0.01,CELU,SGD,142,0.4307829160924542,0.65,65,35
29,0,29,1,8,0.01,LeakyReLU,SGD,65,0.941608539858445,0.39,39,61
30,0,30,1,8,0.01,ReLU6,SGD,92,0.7550225842780328,0.47,47,53
31,0,31,1,8,0.01,ReLU,SGD,125,0.579818495252942,0.56,56,44
32,0,32,1,8,0.01,Softplus,SGD,65,0.843970070294529,0.43,43,57
33,0,33,1,8,0.01,ReLU,SGD,29,1.1086626245216111,0.33,33,67
34,0,34,1,8,0.01,ELU,SGD,51,0.8209805520698302,0.44,44,56
35,0,35,1,8,0.01,Mish,SGD,20,0.916290731874155,0.4,40,60
36,0,36,1,8,0.01,SELU,SGD,88,0.8915981192837836,0.41,41,59
37,0,37,1,8,0.01,Hardswish,SGD,-35,1.3470736479666092,0.26,26,74
38,0,38,1,8,0.01,LeakyReLU,SGD,37,1.1394342831883648,0.32,32,68
39,0,39,1,8,0.01,ELU,SGD,44,0.9675840262617056,0.38,38,62
40,0,40,1,8,0.01,Softplus,SGD,81,0.6931471805599453,0.5,50,50
41,0,41,1,8,0.01,Softplus,SGD,36,1.1394342831883648,0.32,32,68
42,0,42,1,8,0.01,ReLU6,SGD,122,0.527632742082372,0.59,59,41
43,0,43,1,8,0.01,PReLU,SGD,-54,1.171182981502945,0.31,31,69
44,0,44,1,8,0.01,ELU,SGD,16,1.0216512475319814,0.36,36,64
45,0,45,1,8,0.01,ELU,SGD,12,0.916290731874155,0.4,40,60
46,0,46,1,8,0.01,Mish,SGD,0,1.1394342831883648,0.32,32,68
47,0,47,1,8,0.01,Mish,SGD,74,0.843970070294529,0.43,43,57
48,0,48,1,8,0.01,PReLU,SGD,48,0.7765287894989963,0.46,46,54
49,0,49,1,8,0.01,Mish,SGD,103,0.7339691750802004,0.48,48,52
50,1,0,1,8,0.01,Hardswish,SGD,33,1.0788096613719298,0.34,34,66
51,1,1,1,8,0.01,ReLU,SGD,91,0.7765287894989963,0.46,46,54
52,1,2,1,8,0.01,ReLU,SGD,115,0.7550225842780328,0.47,47,53
53,1,3,1,8,0.01,SiLU,SGD,36,1.1086626245216111,0.33,33,67
54,1,4,1,8,0.01,ELU,SGD,116,0.6931471805599453,0.5,50,50
55,1,5,1,8,0.01,Softplus,SGD,75,0.8915981192837836,0.41,41,59
56,1,6,1,8,0.01,Hardswish,SGD,67,0.8675005677047231,0.42,42,58
57,1,7,1,8,0.01,Softplus,SGD,113,0.527632742082372,0.59,59,41
58,1,8,1,8,0.01,ReLU,SGD,21,1.1394342831883648,0.32,32,68
59,1,9,1,8,0.01,SiLU,SGD,81,0.7985076962177716,0.45,45,55
60,1,10,1,8,0.01,Mish,SGD,74,0.6931471805599453,0.5,50,50
61,1,11,1,8,0.01,Hardswish,SGD,97,0.5621189181535413,0.57,57,43
62,1,12,1,8,0.01,ReLU6,SGD,38,0.9942522733438669,0.37,37,63
63,1,13,1,8,0.01,SELU,SGD,79,0.6931471805599453,0.5,50,50
64,1,14,1,8,0.01,SiLU,SGD,-5,1.2039728043259361,0.3,30,70
65,1,15,1,8,0.01,ReLU6,SGD,30,1.2729656758128873,0.28,28,72
66,1,16,1,8,0.01,ReLU,SGD,52,1.1086626245216111,0.33,33,67
67,1,17,1,8,0.01,Mish,SGD,-25,1.4696759700589417,0.23,23,77
68,1,18,1,8,0.01,SELU,SGD,38,0.7550225842780328,0.47,47,53
69,1,19,1,8,0.01,ReLU,SGD,13,1.1394342831883648,0.32,32,68
70,1,20,1,8,0.01,ReLU6,SGD,133,0.5621189181535413,0.57,57,43
71,1,21,1,8,0.01,PReLU,SGD,23,0.9675840262617056,0.38,38,62
72,1,22,1,8,0.01,Softplus,SGD,79,0.6348782724359695,0.53,53,47
73,1,23,1,8,0.01,SiLU,SGD,17,1.2729656758128873,0.28,28,72
74,1,24,1,8,0.01,Mish,SGD,132,0.6348782724359695,0.53,53,47
75,1,25,1,8,0.01,SiLU,SGD,-106,1.6094379124341003,0.2,20,80
76,1,26,1,8,0.01,ELU,SGD,83,0.7339691750802004,0.48,48,52
77,1,27,1,8,0.01,PReLU,SGD,13,0.941608539858445,0.39,39,61
78,1,28,1,8,0.01,LeakyReLU,SGD,102,0.6348782724359695,0.53,53,47
79,1,29,1,8,0.01,SELU,SGD,55,1.0216512475319814,0.36,36,64
80,1,30,1,8,0.01,CELU,SGD,62,0.8675005677047231,0.42,42,58
81,1,31,1,8,0.01,ReLU,SGD,-22,0.8209805520698302,0.44,44,56
82,1,32,1,8,0.01,Hardswish,SGD,27,0.7133498878774648,0.49,49,51
83,1,33,1,8,0.01,Hardswish,SGD,75,1.1394342831883648,0.32,32,68
84,1,34,1,8,0.01,LeakyReLU,SGD,119,0.4942963218147801,0.61,61,39
85,1,35,1,8,0.01,CELU,SGD,87,0.7339691750802004,0.48,48,52
86,1,36,1,8,0.01,Softplus,SGD,53,1.1394342831883648,0.32,32,68
87,1,37,1,8,0.01,ELU,SGD,72,0.8915981192837836,0.41,41,59
88,1,38,1,8,0.01,CELU,SGD,59,0.7985076962177716,0.45,45,55
89,1,39,1,8,0.01,Mish,SGD,11,1.4271163556401458,0.24,24,76
90,1,40,1,8,0.01,ELU,SGD,25,1.0788096613719298,0.34,34,66
91,1,41,1,8,0.01,SELU,SGD,89,0.843970070294529,0.43,43,57
92,1,42,1,8,0.01,CELU,SGD,-5,1.3470736479666092,0.26,26,74
93,1,43,1,8,0.01,LeakyReLU,SGD,50,0.9675840262617056,0.38,38,62
94,1,44,1,8,0.01,Softplus,SGD,76,0.916290731874155,0.4,40,60
95,1,45,1,8,0.01,ReLU,SGD,18,1.7147984280919266,0.18,18,82
96,1,46,1,8,0.01,Hardswish,SGD,9,0.8675005677047231,0.42,42,58
97,1,47,1,8,0.01,Mish,SGD,73,0.6931471805599453,0.5,50,50
98,1,48,1,8,0.01,ReLU6,SGD,34,1.1394342831883648,0.32,32,68
99,1,49,1,8,0.01,SELU,SGD,77,0.8675005677047231,0.42,42,58
100,2,0,1,8,0.01,PReLU,SGD,99,0.7765287894989963,0.46,46,54
101,2,1,1,8,0.01,PReLU,SGD,-9,1.3093333199837622,0.27,27,73
102,2,2,1,8,0.01,LeakyReLU,SGD,20,1.1086626245216111,0.33,33,67
103,2,3,1,8,0.01,LeakyReLU,SGD,94,0.6931471805599453,0.5,50,50
104,2,4,1,8,0.01,ReLU6,SGD,124,0.8675005677047231,0.42,42,58
105,2,5,1,8,0.01,LeakyReLU,SGD,11,0.8675005677047231,0.42,42,58
106,2,6,1,8,0.01,Mish,SGD,5,0.9675840262617056,0.38,38,62
107,2,7,1,8,0.01,SiLU,SGD,57,1.2039728043259361,0.3,30,70
108,2,8,1,8,0.01,ReLU6,SGD,-5,0.9942522733438669,0.37,37,63
109,2,9,1,8,0.01,SELU,SGD,39,0.8675005677047231,0.42,42,58
110,2,10,1,8,0.01,SiLU,SGD,43,0.843970070294529,0.43,43,57
111,2,11,1,8,0.01,CELU,SGD,59,0.843970070294529,0.43,43,57
112,2,12,1,8,0.01,Hardswish,SGD,-54,1.2378743560016174,0.29,29,71
113,2,13,1,8,0.01,ReLU6,SGD,-7,1.2729656758128873,0.28,28,72
114,2,14,1,8,0.01,Softplus,SGD,50,0.9942522733438669,0.37,37,63
115,2,15,1,8,0.01,ReLU6,SGD,42,0.9942522733438669,0.37,37,63
116,2,16,1,8,0.01,Mish,SGD,96,0.9942522733438669,0.37,37,63
117,2,17,1,8,0.01,Softplus,SGD,76,0.6539264674066639,0.52,52,48
118,2,18,1,8,0.01,PReLU,SGD,-12,1.3093333199837622,0.27,27,73
119,2,19,1,8,0.01,ReLU6,SGD,119,0.7339691750802004,0.48,48,52
120,2,20,1,8,0.01,Mish,SGD,2,1.2039728043259361,0.3,30,70
121,2,21,1,8,0.01,ReLU,SGD,54,0.7985076962177716,0.45,45,55
122,2,22,1,8,0.01,CELU,SGD,72,0.941608539858445,0.39,39,61
