row,column,hidden_layers,hidden_size,learning_rate,activation,optimizer,hp,surprisal,accuracy,good_outcomes,bad_outcomes
0,0,2,8,0.01,ReLU,SGD,-215,0.9493305859523552,0.387,387,613
0,1,2,8,0.01,ReLU,SGD,150,0.8007323912398827,0.449,449,551
0,2,5,8,0.01,ReLU,SGD,-174,1.0876723486297752,0.337,337,663
0,3,1,8,0.01,ReLU,SGD,577,0.6462635946610948,0.524,524,476
0,4,1,8,0.01,ReLU,SGD,471,0.6443570163905132,0.525,525,475
0,5,2,8,0.01,ReLU,SGD,292,0.8891620644859025,0.411,411,589
0,6,4,8,0.01,ReLU,SGD,-187,1.0216512475319814,0.36,360,640
0,7,3,8,0.01,ReLU,SGD,183,0.8324092478934529,0.435,435,565
0,8,3,8,0.01,ReLU,SGD,-80,0.9675840262617056,0.38,380,620
0,9,5,8,0.01,ReLU,SGD,-121,1.0817551716016867,0.339,339,661
0,10,1,8,0.01,ReLU,SGD,456,0.6520052372287701,0.521,521,479
0,11,1,8,0.01,ReLU,SGD,597,0.6713856887784326,0.511,511,489
0,12,4,8,0.01,ReLU,SGD,-103,1.0936247471570706,0.335,335,665
0,13,1,8,0.01,ReLU,SGD,722,0.5058380822549516,0.603,603,397
0,14,3,8,0.01,ReLU,SGD,-269,1.194022473472768,0.303,303,697
0,15,2,8,0.01,ReLU,SGD,233,0.8770700187208739,0.416,416,584
0,16,3,8,0.01,ReLU,SGD,-9,1.0133524447172864,0.363,363,637
0,17,5,8,0.01,ReLU,SGD,-63,1.0244328904938582,0.359,359,641
0,18,2,8,0.01,ReLU,SGD,136,0.7940730991499059,0.452,452,548
0,19,3,8,0.01,ReLU,SGD,-307,1.0906441190189327,0.336,336,664
0,20,1,8,0.01,ReLU,SGD,785,0.53785429615391,0.584,584,416
0,21,4,8,0.01,ReLU,SGD,-243,0.9996723408132061,0.368,368,632
0,22,1,8,0.01,ReLU,SGD,430,0.6424540662444271,0.526,526,474
0,23,5,8,0.01,ReLU,SGD,-10,1.0384583658483626,0.354,354,646
0,24,1,8,0.01,ReLU,SGD,675,0.6348782724359695,0.53,530,470
0,25,1,8,0.01,ReLU,SGD,458,0.7962879394794586,0.451,451,549
0,26,2,8,0.01,ReLU,SGD,-38,1.016111067156366,0.362,362,638
0,27,2,8,0.01,ReLU,SGD,305,0.780886094867952,0.458,458,542
0,28,4,8,0.01,ReLU,SGD,-449,1.1583622930738837,0.314,314,686
0,29,3,8,0.01,ReLU,SGD,-121,1.0613165039244128,0.346,346,654
0,30,1,8,0.01,ReLU,SGD,568,0.6597124044737079,0.517,517,483
0,31,1,8,0.01,ReLU,SGD,441,0.7721903879003982,0.462,462,538
0,32,1,8,0.01,ReLU,SGD,437,0.6891551592904078,0.502,502,498
0,33,2,8,0.01,ReLU,SGD,-83,0.9339456671128757,0.393,393,607
0,34,3,8,0.01,ReLU,SGD,-212,0.9441759353636907,0.389,389,611
0,35,5,8,0.01,ReLU,SGD,-323,1.0788096613719298,0.34,340,660
0,36,2,8,0.01,ReLU,SGD,-15,0.9623346703755619,0.382,382,618
0,37,3,8,0.01,ReLU,SGD,-214,0.9755100915341263,0.377,377,623
0,38,2,8,0.01,ReLU,SGD,-107,0.9834994815676051,0.374,374,626
0,39,3,8,0.01,ReLU,SGD,-130,0.9441759353636907,0.389,389,611
0,40,2,8,0.01,ReLU,SGD,243,0.8029620465671519,0.448,448,552
0,41,3,8,0.01,ReLU,SGD,93,0.9441759353636907,0.389,389,611
0,42,1,8,0.01,ReLU,SGD,562,0.5960204698292225,0.551,551,449
0,43,3,8,0.01,ReLU,SGD,-31,0.9623346703755619,0.382,382,618
0,44,3,8,0.01,ReLU,SGD,62,0.9834994815676051,0.374,374,626
0,45,2,8,0.01,ReLU,SGD,-52,1.0729445419195318,0.342,342,658
0,46,1,8,0.01,ReLU,SGD,483,0.7765287894989963,0.46,460,540
