row,column,hidden_layers,hidden_size,learning_rate,activation,optimizer,hp,surprisal,accuracy,good_outcomes,bad_outcomes
0,0,1,8,0.01,ReLU,RMSprop,778,0.5996568374726063,0.549,549,451
0,1,1,8,0.01,ReLU,RMSprop,418,0.7635696448564911,0.466,466,534
0,2,1,8,0.01,ReLU,RMSprop,904,0.6198967188203526,0.538,538,462
0,3,1,8,0.01,ReLU,RMSprop,494,0.709276562489829,0.492,492,508
0,4,1,8,0.01,ReLU,RMSprop,419,0.8096809968158968,0.445,445,555
0,5,1,8,0.01,ReLU,SGD,-48,1.0817551716016867,0.339,339,661
0,6,1,8,0.01,ReLU,Adamax,-40,1.1301029557594804,0.323,323,677
0,7,1,8,0.01,ReLU,AdamW,148,0.9834994815676051,0.374,374,626
0,8,1,8,0.01,ReLU,Adam,142,0.9339456671128757,0.393,393,607
0,9,1,8,0.01,ReLU,Adadelta,-1520,2.4418471603275536,0.087,87,913
0,10,1,8,0.01,ReLU,SGD,396,0.7985076962177716,0.45,450,550
0,11,1,8,0.01,ReLU,Adamax,345,0.8370175509796473,0.433,433,567
0,12,1,8,0.01,ReLU,RMSprop,667,0.6462635946610948,0.524,524,476
0,13,1,8,0.01,ReLU,AdamW,43,1.07587280169862,0.341,341,659
0,14,1,8,0.01,ReLU,AdamW,27,1.016111067156366,0.362,362,638
0,15,1,8,0.01,ReLU,RMSprop,572,0.6931471805599453,0.5,500,500
0,16,1,8,0.01,ReLU,Adadelta,-489,1.487220279709851,0.226,226,774
0,17,1,8,0.01,ReLU,RMSprop,629,0.6443570163905132,0.525,525,475
0,18,1,8,0.01,ReLU,SGD,274,1.0384583658483626,0.354,354,646
0,19,1,8,0.01,ReLU,Adadelta,-1160,2.071473372030659,0.126,126,874
0,20,1,8,0.01,ReLU,Adam,185,1.030019497202498,0.357,357,643
0,21,1,8,0.01,ReLU,Adam,328,0.8209805520698302,0.44,440,560
0,22,1,8,0.01,ReLU,Adamax,-208,1.2006450142332614,0.301,301,699
0,23,1,8,0.01,ReLU,RMSprop,700,0.6088060321261943,0.544,544,456
0,24,1,8,0.01,ReLU,Adagrad,-231,1.2694006096483912,0.281,281,719
0,25,1,8,0.01,ReLU,SGD,-50,1.0700248318161971,0.343,343,657
0,26,1,8,0.01,ReLU,Adamax,-1,1.1056369036050742,0.331,331,669
0,27,1,8,0.01,ReLU,Adagrad,-147,1.1239300966523995,0.325,325,675
0,28,1,8,0.01,ReLU,SGD,7,1.030019497202498,0.357,357,643
0,29,1,8,0.01,ReLU,Adamax,123,1.0244328904938582,0.359,359,641
0,30,1,8,0.01,ReLU,SGD,-139,1.1056369036050742,0.331,331,669
0,31,1,8,0.01,ReLU,AdamW,391,0.8324092478934529,0.435,435,565
0,32,1,8,0.01,ReLU,Adagrad,50,1.0966142860054366,0.334,334,666
0,33,1,8,0.01,ReLU,AdamW,90,0.959720289801491,0.383,383,617
0,34,1,8,0.01,ReLU,AdamW,196,0.9187938620922735,0.399,399,601
0,35,1,8,0.01,ReLU,Adam,16,1.0469690555162714,0.351,351,649
0,36,1,8,0.01,ReLU,AdamW,591,0.7465479572870606,0.474,474,526
0,37,1,8,0.01,ReLU,Adagrad,-184,1.1744140020843916,0.309,309,691
0,38,1,8,0.01,ReLU,SGD,192,0.8940401229393353,0.409,409,591
0,39,1,8,0.01,ReLU,Adamax,91,0.9493305859523552,0.387,387,613
0,40,1,8,0.01,ReLU,SGD,92,1.0216512475319814,0.36,360,640
0,41,1,8,0.01,ReLU,Adagrad,-148,1.18090753139494,0.307,307,693
0,42,1,8,0.01,ReLU,RMSprop,729,0.6462635946610948,0.524,524,476
0,43,1,8,0.01,ReLU,AdamW,-248,1.2310014767138553,0.292,292,708
0,44,1,8,0.01,ReLU,Adamax,161,0.9364934391916745,0.392,392,608
0,45,1,8,0.01,ReLU,AdamW,227,0.9288695140810151,0.395,395,605
0,46,1,8,0.01,ReLU,Adagrad,-212,1.2694006096483912,0.281,281,719
0,47,1,8,0.01,ReLU,SGD,62,1.0078579253996456,0.365,365,635
0,48,1,8,0.01,ReLU,Adamax,43,0.9623346703755619,0.382,382,618
0,49,1,8,0.01,ReLU,AdamW,293,0.818710403535291,0.441,441,559
1,0,1,8,0.01,ReLU,Adamax,24,1.0613165039244128,0.346,346,654
1,1,1,8,0.01,ReLU,Adagrad,117,1.058430499035278,0.347,347,653
1,2,1,8,0.01,ReLU,Adadelta,-121,1.6607312068216509,0.19,190,810
1,3,1,8,0.01,ReLU,Adadelta,-1560,3.7722610630529876,0.023,23,977
1,4,1,8,0.01,ReLU,Adam,94,0.9834994815676051,0.374,374,626
1,5,1,8,0.01,ReLU,RMSprop,445,0.7550225842780328,0.47,470,530
1,6,1,8,0.01,ReLU,Adam,277,0.9390477189967712,0.391,391,609
1,7,1,8,0.01,ReLU,Adagrad,119,1.0642108619507773,0.345,345,655
1,8,1,8,0.01,ReLU,RMSprop,501,0.7743572359854884,0.461,461,539
1,9,1,8,0.01,ReLU,Adam,1256,0.4155154439616658,0.66,660,340
1,10,1,8,0.01,ReLU,Adadelta,-2219,3.0576076772720784,0.047,47,953
1,11,1,8,0.01,ReLU,Adagrad,525,0.7985076962177716,0.45,450,550
1,12,1,8,0.01,ReLU,Adagrad,-197,1.1679623668029029,0.311,311,689
1,13,1,8,0.01,ReLU,Adagrad,-386,1.2275826699650698,0.293,293,707
1,14,1,8,0.01,ReLU,SGD,-133,1.0671136216087387,0.344,344,656
1,15,1,8,0.01,ReLU,Adamax,-79,1.0642108619507773,0.345,345,655
1,16,1,8,0.01,ReLU,Adamax,13,1.016111067156366,0.362,362,638
1,17,1,8,0.01,ReLU,AdamW,-170,1.171182981502945,0.31,310,690
1,18,1,8,0.01,ReLU,AdamW,104,0.9571127263944101,0.384,384,616
1,19,1,8,0.01,ReLU,RMSprop,382,0.7486598904902041,0.473,473,527
1,20,1,8,0.01,ReLU,SGD,109,0.9861768593383216,0.373,373,627
1,21,1,8,0.01,ReLU,Adam,268,0.9623346703755619,0.382,382,618
1,22,1,8,0.01,ReLU,Adadelta,-197,1.6094379124341003,0.2,200,800
1,23,1,8,0.01,ReLU,Adadelta,-1672,3.3524072174927233,0.035,35,965
1,24,1,8,0.01,ReLU,SGD,268,0.8347107448817322,0.434,434,566
