,row,column,hidden_layers,hidden_size,learning_rate,activation,optimizer,hp,surprisal,accuracy,good_outcomes,bad_outcomes
0,0,0,1,8,0.01,ReLU,RMSprop,168,0.40047756659712525,0.67,67,33
1,0,1,1,8,0.01,ReLU,RMSprop,89,0.7339691750802004,0.48,48,52
2,0,2,1,8,0.01,ReLU,RMSprop,113,0.6539264674066639,0.52,52,48
3,0,3,1,8,0.01,ReLU,RMSprop,114,0.527632742082372,0.59,59,41
4,0,4,1,8,0.01,ReLU,RMSprop,69,0.8209805520698302,0.44,44,56
5,0,5,1,8,0.01,ReLU,SGD,18,1.2378743560016174,0.29,29,71
6,0,6,1,8,0.01,ReLU,Adamax,74,0.941608539858445,0.39,39,61
7,0,7,1,8,0.01,ReLU,AdamW,14,1.3470736479666092,0.26,26,74
8,0,8,1,8,0.01,ReLU,Adam,69,0.7339691750802004,0.48,48,52
9,0,9,1,8,0.01,ReLU,Adadelta,-99,inf,0.0,0,100
10,0,10,1,8,0.01,ReLU,SGD,127,0.527632742082372,0.59,59,41
11,0,11,1,8,0.01,ReLU,Adamax,67,1.0216512475319814,0.36,36,64
12,0,12,1,8,0.01,ReLU,RMSprop,145,0.4155154439616658,0.66,66,34
13,0,13,1,8,0.01,ReLU,AdamW,86,1.1086626245216111,0.33,33,67
14,0,14,1,8,0.01,ReLU,AdamW,11,1.3093333199837622,0.27,27,73
15,0,15,1,8,0.01,ReLU,RMSprop,167,0.4462871026284195,0.64,64,36
16,0,16,1,8,0.01,ReLU,Adadelta,9,2.0402208285265546,0.13,13,87
17,0,17,1,8,0.01,ReLU,RMSprop,124,0.5447271754416722,0.58,58,42
18,0,18,1,8,0.01,ReLU,SGD,96,0.6348782724359695,0.53,53,47
19,0,19,1,8,0.01,ReLU,Adadelta,-160,4.605170185988091,0.01,1,99
20,0,20,1,8,0.01,ReLU,Adam,45,0.9675840262617056,0.38,38,62
21,0,21,1,8,0.01,ReLU,Adam,31,1.171182981502945,0.31,31,69
22,0,22,1,8,0.01,ReLU,Adamax,43,1.0216512475319814,0.36,36,64
23,0,23,1,8,0.01,ReLU,RMSprop,110,0.5447271754416722,0.58,58,42
24,0,24,1,8,0.01,ReLU,Adagrad,-20,1.2378743560016174,0.29,29,71
25,0,25,1,8,0.01,ReLU,SGD,54,0.7339691750802004,0.48,48,52
26,0,26,1,8,0.01,ReLU,Adamax,1,1.2729656758128873,0.28,28,72
27,0,27,1,8,0.01,ReLU,Adagrad,95,0.6539264674066639,0.52,52,48
28,0,28,1,8,0.01,ReLU,SGD,13,1.171182981502945,0.31,31,69
29,0,29,1,8,0.01,ReLU,Adamax,85,0.8675005677047231,0.42,42,58
30,0,30,1,8,0.01,ReLU,SGD,24,1.1086626245216111,0.33,33,67
31,0,31,1,8,0.01,ReLU,AdamW,46,0.941608539858445,0.39,39,61
32,0,32,1,8,0.01,ReLU,Adagrad,94,0.579818495252942,0.56,56,44
33,0,33,1,8,0.01,ReLU,AdamW,41,0.7339691750802004,0.48,48,52
34,0,34,1,8,0.01,ReLU,AdamW,15,1.2039728043259361,0.3,30,70
35,0,35,1,8,0.01,ReLU,Adam,48,1.2729656758128873,0.28,28,72
36,0,36,1,8,0.01,ReLU,AdamW,105,0.7339691750802004,0.48,48,52
37,0,37,1,8,0.01,ReLU,Adagrad,63,0.8209805520698302,0.44,44,56
38,0,38,1,8,0.01,ReLU,SGD,83,0.6539264674066639,0.52,52,48
39,0,39,1,8,0.01,ReLU,Adamax,37,1.171182981502945,0.31,31,69
40,0,40,1,8,0.01,ReLU,SGD,57,0.7765287894989963,0.46,46,54
41,0,41,1,8,0.01,ReLU,Adagrad,8,1.2378743560016174,0.29,29,71
42,0,42,1,8,0.01,ReLU,RMSprop,228,0.2231435513142097,0.8,80,20
43,0,43,1,8,0.01,ReLU,AdamW,44,1.0498221244986778,0.35,35,65
44,0,44,1,8,0.01,ReLU,Adamax,59,1.0788096613719298,0.34,34,66
45,0,45,1,8,0.01,ReLU,AdamW,84,0.7339691750802004,0.48,48,52
46,0,46,1,8,0.01,ReLU,Adagrad,66,1.0216512475319814,0.36,36,64
47,0,47,1,8,0.01,ReLU,SGD,10,1.2729656758128873,0.28,28,72
48,0,48,1,8,0.01,ReLU,Adamax,-27,1.3093333199837622,0.27,27,73
49,0,49,1,8,0.01,ReLU,AdamW,80,0.7550225842780328,0.47,47,53
50,1,0,1,8,0.01,ReLU,Adamax,27,1.171182981502945,0.31,31,69
51,1,1,1,8,0.01,ReLU,Adagrad,52,1.0216512475319814,0.36,36,64
52,1,2,1,8,0.01,ReLU,Adadelta,87,0.9942522733438669,0.37,37,63
53,1,3,1,8,0.01,ReLU,Adadelta,-90,2.995732273553991,0.05,5,95
54,1,4,1,8,0.01,ReLU,Adam,72,0.8209805520698302,0.44,44,56
55,1,5,1,8,0.01,ReLU,RMSprop,91,0.8675005677047231,0.42,42,58
56,1,6,1,8,0.01,ReLU,Adam,91,0.8915981192837836,0.41,41,59
57,1,7,1,8,0.01,ReLU,Adagrad,49,1.2729656758128873,0.28,28,72
58,1,8,1,8,0.01,ReLU,RMSprop,123,0.7133498878774648,0.49,49,51
59,1,9,1,8,0.01,ReLU,Adam,200,0.342490308946776,0.71,71,29
60,1,10,1,8,0.01,ReLU,Adadelta,-233,4.605170185988091,0.01,1,99
61,1,11,1,8,0.01,ReLU,Adagrad,20,1.3093333199837622,0.27,27,73
62,1,12,1,8,0.01,ReLU,Adagrad,96,0.7985076962177716,0.45,45,55
63,1,13,1,8,0.01,ReLU,Adagrad,32,0.8675005677047231,0.42,42,58
64,1,14,1,8,0.01,ReLU,SGD,-78,1.4696759700589417,0.23,23,77
65,1,15,1,8,0.01,ReLU,Adamax,31,1.0788096613719298,0.34,34,66
66,1,16,1,8,0.01,ReLU,Adamax,24,1.0498221244986778,0.35,35,65
67,1,17,1,8,0.01,ReLU,AdamW,96,0.5978370007556204,0.55,55,45
68,1,18,1,8,0.01,ReLU,AdamW,61,0.5978370007556204,0.55,55,45
69,1,19,1,8,0.01,ReLU,RMSprop,95,0.4942963218147801,0.61,61,39
70,1,20,1,8,0.01,ReLU,SGD,100,0.7765287894989963,0.46,46,54
71,1,21,1,8,0.01,ReLU,Adam,102,0.8209805520698302,0.44,44,56
72,1,22,1,8,0.01,ReLU,Adadelta,97,0.843970070294529,0.43,43,57
73,1,23,1,8,0.01,ReLU,Adadelta,-135,4.605170185988091,0.01,1,99
74,1,24,1,8,0.01,ReLU,SGD,12,0.9942522733438669,0.37,37,63
75,1,25,1,8,0.01,ReLU,SGD,86,0.6348782724359695,0.53,53,47
76,1,26,1,8,0.01,ReLU,Adam,-30,1.0788096613719298,0.34,34,66
77,1,27,1,8,0.01,ReLU,AdamW,120,0.4155154439616658,0.66,66,34
78,1,28,1,8,0.01,ReLU,Adagrad,66,0.7765287894989963,0.46,46,54
79,1,29,1,8,0.01,ReLU,Adamax,31,1.0498221244986778,0.35,35,65
80,1,30,1,8,0.01,ReLU,AdamW,123,0.6931471805599453,0.5,50,50
81,1,31,1,8,0.01,ReLU,Adadelta,-218,inf,0.0,0,100
82,1,32,1,8,0.01,ReLU,SGD,74,0.843970070294529,0.43,43,57
83,1,33,1,8,0.01,ReLU,RMSprop,74,0.6539264674066639,0.52,52,48
84,1,34,1,8,0.01,ReLU,Adam,29,1.2378743560016174,0.29,29,71
85,1,35,1,8,0.01,ReLU,Adagrad,41,1.2729656758128873,0.28,28,72
86,1,36,1,8,0.01,ReLU,AdamW,127,0.5621189181535413,0.57,57,43
87,1,37,1,8,0.01,ReLU,Adamax,24,0.9675840262617056,0.38,38,62
88,1,38,1,8,0.01,ReLU,Adam,104,0.7550225842780328,0.47,47,53
89,1,39,1,8,0.01,ReLU,Adagrad,81,0.7133498878774648,0.49,49,51
90,1,40,1,8,0.01,ReLU,Adam,120,0.4780358009429998,0.62,62,38
91,1,41,1,8,0.01,ReLU,SGD,-37,1.171182981502945,0.31,31,69
92,1,42,1,8,0.01,ReLU,Adamax,-4,1.2039728043259361,0.3,30,70
93,1,43,1,8,0.01,ReLU,Adagrad,97,0.7339691750802004,0.48,48,52
94,1,44,1,8,0.01,ReLU,SGD,42,1.2039728043259361,0.3,30,70
95,1,45,1,8,0.01,ReLU,SGD,-26,1.4271163556401458,0.24,24,76
96,1,46,1,8,0.01,ReLU,Adam,75,0.8675005677047231,0.42,42,58
97,1,47,1,8,0.01,ReLU,Adam,64,1.0216512475319814,0.36,36,64
98,1,48,1,8,0.01,ReLU,Adadelta,-46,3.912023005428146,0.02,2,98
