,row,column,hidden_layers,hidden_size,learning_rate,activation,optimizer,hp,surprisal,accuracy,good_outcomes,bad_outcomes
0,0,0,4,35,0.005404815329676531,Hardswish,AdamW,50,,,0,0
1,0,1,1,31,0.9421916625995501,SiLU,Adagrad,50,,,0,0
2,0,2,2,84,0.3131749290890592,SiLU,RMSprop,50,,,0,0
3,0,3,4,14,0.1449446219530759,SELU,Adagrad,50,,,0,0
4,0,4,1,92,0.05628968518094395,Mish,Adam,50,,,0,0
5,0,5,2,41,0.29809078688309426,ReLU,Adamax,50,,,0,0
6,0,6,1,6,0.8861581423916076,CELU,Adam,50,,,0,0
7,0,7,4,30,0.4591698833066818,Mish,AdamW,50,,,0,0
8,0,8,1,2,0.42791755342616516,Mish,Adamax,50,,,0,0
9,0,9,2,57,0.03574112363321632,Hardswish,AdamW,50,,,0,0
10,0,10,4,72,0.8853160913915302,PReLU,Adam,50,,,0,0
11,0,11,4,72,0.9286749625207947,SiLU,Adamax,50,,,0,0
12,0,12,1,42,0.7352255407653685,Softplus,Adam,50,,,0,0
13,0,13,4,34,0.10809098181610116,PReLU,Adadelta,50,,,0,0
14,0,14,3,2,0.5571373567630747,PReLU,Adagrad,50,,,0,0
15,0,15,4,57,0.614256202280589,LeakyReLU,Adam,50,,,0,0
16,0,16,3,18,0.7090970972951843,Mish,Adamax,50,,,0,0
17,0,17,2,92,0.24259590720663568,Softplus,SGD,50,,,0,0
18,0,18,1,91,0.27765515430606047,PReLU,Adamax,50,,,0,0
19,0,19,1,1,0.3267810586304138,Softplus,Adagrad,50,,,0,0
20,0,20,3,26,0.3614329900657034,ELU,Adagrad,50,,,0,0
21,0,21,4,12,0.2719807746044961,PReLU,Adamax,50,,,0,0
22,0,22,1,37,0.44285907734939156,Mish,RMSprop,50,,,0,0
23,0,23,2,76,0.48715881771763075,ReLU6,SGD,50,,,0,0
24,0,24,4,44,0.9516437358832903,ReLU6,Adamax,50,,,0,0
25,0,25,4,54,0.5196667390492462,CELU,SGD,50,,,0,0
26,0,26,1,14,0.471381547956306,ReLU,RMSprop,50,,,0,0
27,0,27,3,81,0.8023049720092471,SiLU,RMSprop,50,,,0,0
28,0,28,2,9,0.2652204484911976,SELU,Adam,50,,,0,0
29,0,29,1,69,0.32772321031248103,SELU,SGD,50,,,0,0
30,0,30,1,38,0.6319649829130267,SiLU,SGD,50,,,0,0
31,0,31,3,98,0.20977161710272613,Softplus,SGD,50,,,0,0
32,0,32,4,49,0.9453776287806124,Mish,Adagrad,50,,,0,0
33,0,33,3,2,0.152777733323176,Softplus,Adagrad,50,,,0,0
34,0,34,2,36,0.6483208945569813,Mish,Adam,50,,,0,0
35,0,35,4,90,0.5168793736225819,Softplus,AdamW,50,,,0,0
36,0,36,3,87,0.3089743139167,ELU,RMSprop,50,,,0,0
37,0,37,1,82,0.20997745948908186,Mish,Adadelta,50,,,0,0
38,0,38,3,89,0.6986917875021724,CELU,Adamax,50,,,0,0
39,0,39,1,52,0.8232438659225442,ReLU,Adagrad,50,,,0,0
40,0,40,2,44,0.49146288510044744,ELU,Adagrad,50,,,0,0
41,0,41,3,39,0.9000447335634064,PReLU,AdamW,50,,,0,0
42,0,42,4,44,0.39597147852345366,PReLU,SGD,50,,,0,0
43,0,43,1,92,0.5366918761815486,PReLU,Adagrad,50,,,0,0
44,0,44,1,49,0.32989688790226596,ELU,AdamW,50,,,0,0
45,0,45,1,61,0.6148096184580054,SiLU,AdamW,50,,,0,0
46,0,46,4,26,0.2549308615181506,CELU,Adagrad,50,,,0,0
47,0,47,1,5,0.025668482680574617,PReLU,Adagrad,50,,,0,0
48,0,48,2,73,0.006269044027351219,LeakyReLU,SGD,50,,,0,0
49,0,49,4,94,0.10159541804433594,ReLU,RMSprop,50,,,0,0
50,1,0,2,31,0.1306708334178907,Mish,Adagrad,50,,,0,0
51,1,1,4,46,0.305580058045029,ELU,SGD,50,,,0,0
52,1,2,1,35,0.3340425490522562,Softplus,Adam,50,,,0,0
53,1,3,4,13,0.9851707311113754,Hardswish,Adam,50,,,0,0
54,1,4,2,91,0.4570401828730844,ELU,SGD,50,,,0,0
55,1,5,1,33,0.9983718733603897,ELU,RMSprop,50,,,0,0
56,1,6,4,17,0.8600853706955174,ELU,Adagrad,50,,,0,0
57,1,7,2,70,0.8462670967872121,Mish,Adam,50,,,0,0
58,1,8,2,13,0.677301708806797,ReLU,Adam,50,,,0,0
59,1,9,2,21,0.32827426570951,Mish,Adadelta,50,,,0,0
60,1,10,4,83,0.22092178063565354,Softplus,RMSprop,50,,,0,0
61,1,11,3,32,0.1053668160294191,Hardswish,Adagrad,50,,,0,0
62,1,12,4,19,0.21988170731124834,ReLU,SGD,50,,,0,0
63,1,13,2,28,0.7397442370683518,CELU,Adagrad,50,,,0,0
64,1,14,1,78,0.37984576708952594,SELU,Adamax,50,,,0,0
65,1,15,3,52,0.3038011082179931,Mish,RMSprop,50,,,0,0
66,1,16,3,5,0.29769771720974747,LeakyReLU,Adamax,50,,,0,0
67,1,17,1,16,0.5418927104278413,SiLU,Adadelta,50,,,0,0
68,1,18,1,90,0.6980878517575931,SiLU,Adadelta,50,,,0,0
69,1,19,1,47,0.5139675488029074,SiLU,SGD,50,,,0,0
70,1,20,2,55,0.18034330376808366,LeakyReLU,AdamW,50,,,0,0
71,1,21,3,58,0.40359722353514255,PReLU,Adamax,50,,,0,0
72,1,22,2,91,0.19733139953526324,ReLU6,Adamax,50,,,0,0
73,1,23,4,93,0.9186981182220963,ReLU,AdamW,50,,,0,0
74,1,24,4,80,0.9349068965326586,ELU,Adam,50,,,0,0
75,1,25,3,62,0.07250094837792256,PReLU,AdamW,50,,,0,0
76,1,26,1,44,0.03445696397419113,ReLU6,Adadelta,50,,,0,0
