row,column,hidden_layers,hidden_size,learning_rate,activation,optimizer,hp,surprisal,accuracy,good_outcomes,bad_outcomes
45,2,1,56,0.9630389405781068,SELU,SGD,1309,0.32573014008931084,0.722,722,278
6,17,1,8,0.5328619910874827,Mish,SGD,1179,0.3974969384589874,0.672,672,328
20,40,2,10,0.8638046543799401,CELU,Adagrad,1358,0.40947312950570314,0.664,664,336
4,7,4,87,0.679164054146001,SiLU,Adagrad,1010,0.45098562340997367,0.637,637,363
46,3,2,8,0.30117929126351783,ReLU6,Adadelta,789,0.5058380822549516,0.603,603,397
29,19,4,75,0.23101956312731423,ReLU6,RMSprop,1033,0.5191938734365074,0.595,595,405
8,33,3,87,0.4916114316731975,ELU,SGD,1013,0.5447271754416722,0.58,580,420
27,35,1,13,0.8492833061943857,SELU,Adagrad,887,0.5533852381847867,0.575,575,425
25,43,3,82,0.8162628644061369,ELU,Adagrad,949,0.5603660693261269,0.571,571,429
29,37,1,33,0.5221896074416874,SELU,Adagrad,869,0.5727010274840783,0.564,564,436
21,14,3,98,0.9993749427142004,Softplus,RMSprop,946,0.5780343734594406,0.561,561,439
18,2,2,92,0.4845164309099184,LeakyReLU,SGD,867,0.579818495252942,0.56,560,440
26,47,1,17,0.3228555161395757,Hardswish,SGD,968,0.583396316600826,0.558,558,442
45,16,2,35,0.5972105298134374,SiLU,SGD,854,0.5851900390548529,0.557,557,443
23,29,4,66,0.5891811925086249,Softplus,SGD,713,0.5869869847315546,0.556,556,444
31,47,4,54,0.8138236597460514,CELU,SGD,836,0.5887871652357024,0.555,555,445
44,47,1,83,0.3720772497197425,LeakyReLU,Adagrad,866,0.5923972774598022,0.553,553,447
28,38,1,86,0.03931344481355225,CELU,SGD,760,0.5960204698292225,0.551,551,449
7,31,1,73,0.26425453226409745,SiLU,Adagrad,853,0.5978370007556204,0.55,550,450
17,10,4,21,0.39010996621995747,Hardswish,Adagrad,761,0.5996568374726063,0.549,549,451
2,23,2,65,0.2275186756916665,Softplus,Adagrad,864,0.6014799920341214,0.548,548,452
32,49,1,15,0.40825064008568857,CELU,Adadelta,815,0.6051363032372319,0.546,546,454
44,37,4,77,0.9747682238742754,ELU,Adagrad,935,0.6088060321261943,0.544,544,456
47,17,4,14,0.9447637166927703,SELU,SGD,814,0.6143360001356555,0.541,541,459
18,11,3,16,0.7291098104704279,CELU,SGD,768,0.6217571844732723,0.537,537,463
46,15,3,33,0.748073601812281,Mish,SGD,834,0.6217571844732723,0.537,537,463
19,17,1,23,0.7410554945959897,SiLU,RMSprop,806,0.623621117911335,0.536,536,464
37,18,3,72,0.23741752661449003,LeakyReLU,Adagrad,720,0.6254885320861304,0.535,535,465
36,30,3,60,0.8318448114609243,Softplus,SGD,772,0.6348782724359695,0.53,530,470
34,44,4,61,0.7969735819762865,Hardswish,Adagrad,680,0.6405547304407747,0.527,527,473
42,2,2,35,0.2418421007101296,Mish,Adagrad,733,0.6443570163905132,0.525,525,475
19,7,3,70,0.547210835855156,ELU,RMSprop,774,0.6443570163905132,0.525,525,475
34,46,2,71,0.5553675738918845,SELU,Adagrad,713,0.6462635946610948,0.524,524,476
35,42,1,80,0.17921768168770968,ELU,SGD,757,0.6500876910994983,0.522,522,478
4,8,1,76,0.6628279079467339,SELU,Adagrad,796,0.6500876910994983,0.522,522,478
41,18,2,25,0.16026014829370053,Mish,RMSprop,744,0.6539264674066639,0.52,520,480
33,29,1,19,0.11117313027489116,ELU,SGD,689,0.6558513958162484,0.519,519,481
45,38,2,80,0.8074540394326782,SELU,Adadelta,784,0.6558513958162484,0.519,519,481
12,25,4,89,0.8990101371559037,Softplus,SGD,633,0.657780036722654,0.518,518,482
11,7,3,79,0.7896109208281521,Softplus,Adagrad,725,0.6597124044737079,0.517,517,483
29,39,3,68,0.7403440754377492,ELU,Adagrad,714,0.6597124044737079,0.517,517,483
36,9,3,66,0.7929288170787026,CELU,RMSprop,725,0.6635883783184009,0.515,515,485
21,39,1,76,0.8519455300283081,ReLU6,Adagrad,698,0.6655320135269719,0.514,514,486
1,6,4,17,0.8600853706955174,ELU,Adagrad,727,0.6674794338113675,0.513,513,487
25,45,2,18,0.3847680967367133,Softplus,Adagrad,729,0.6674794338113675,0.513,513,487
32,14,3,63,0.06499066984187402,Mish,Adamax,806,0.6694306539426292,0.512,512,488
39,34,2,34,0.21098450862912382,CELU,Adadelta,640,0.6713856887784326,0.511,511,489
35,13,4,67,0.4842419574344226,CELU,RMSprop,687,0.6713856887784326,0.511,511,489
9,47,4,34,0.1098436917715337,PReLU,Adagrad,668,0.6713856887784326,0.511,511,489
18,34,4,96,0.04818187136963387,Softplus,RMSprop,728,0.6753072624316143,0.509,509,491
15,0,2,38,0.9742449878136874,ReLU,SGD,660,0.6772738314036552,0.508,508,492
24,23,3,41,0.6032498295641937,PReLU,RMSprop,729,0.6772738314036552,0.508,508,492
25,47,1,22,0.034512126601899756,SELU,SGD,683,0.6792442753909539,0.507,507,493
18,19,4,46,0.9580959838122075,SELU,Adagrad,638,0.6812186096946715,0.506,506,494
7,36,3,71,0.7806718701796248,Softplus,Adagrad,731,0.6831968497067772,0.505,505,495
27,19,4,81,0.36951488476277855,ReLU6,SGD,653,0.6831968497067772,0.505,505,495
43,38,2,67,0.7127669858700173,ELU,SGD,708,0.6851790109107684,0.504,504,496
17,1,1,58,0.17799112667349162,Mish,Adagrad,758,0.6851790109107684,0.504,504,496
17,8,3,20,0.6088254254259234,PReLU,Adagrad,677,0.6851790109107684,0.504,504,496
33,43,2,71,0.35479955183124373,Softplus,SGD,642,0.6871651088823978,0.503,503,497
25,36,3,40,0.3412241375388374,Hardswish,SGD,626,0.6871651088823978,0.503,503,497
38,25,4,24,0.41061696955200033,Softplus,RMSprop,766,0.6891551592904078,0.502,502,498
17,13,1,17,0.47503104909349736,Softplus,SGD,702,0.6891551592904078,0.502,502,498
49,12,4,70,0.6514852294125687,SELU,SGD,697,0.6931471805599453,0.5,500,500
39,18,4,93,0.626559501246991,SELU,SGD,714,0.6931471805599453,0.5,500,500
48,7,4,62,0.06280495807246658,LeakyReLU,RMSprop,619,0.6931471805599453,0.5,500,500
24,37,4,20,0.6486546313754127,ReLU6,SGD,670,0.6931471805599453,0.5,500,500
5,14,2,92,0.4723650371258235,CELU,Adadelta,661,0.6991652528855083,0.497,497,503
7,40,3,45,0.27335837277153513,Softplus,Adagrad,728,0.7011793522572096,0.496,496,504
31,6,3,49,0.07348944090073736,ReLU6,RMSprop,682,0.7011793522572096,0.496,496,504
5,16,2,68,0.5637104190486374,Softplus,Adam,637,0.7031975164134467,0.495,495,505
9,18,1,29,0.12034389819257493,SiLU,SGD,655,0.7031975164134467,0.495,495,505
22,23,3,47,0.7041579965950212,ELU,Adagrad,673,0.7052197617942145,0.494,494,506
37,5,2,70,0.6491071227179107,SiLU,Adagrad,659,0.7052197617942145,0.494,494,506
