,row,column,hidden_layers,hidden_size,learning_rate,activation,optimizer,hp,surprisal,accuracy,good_outcomes,bad_outcomes
0,0,0,1,63,0.01,ReLU,SGD,75,0.843970070294529,0.43,43,57
1,0,1,1,53,0.01,ReLU,SGD,35,1.2039728043259361,0.3,30,70
2,0,2,1,56,0.01,ReLU,SGD,110,0.6931471805599453,0.5,50,50
3,0,3,1,25,0.01,ReLU,SGD,54,0.843970070294529,0.43,43,57
4,0,4,1,38,0.01,ReLU,SGD,15,1.0498221244986778,0.35,35,65
5,0,5,1,55,0.01,ReLU,SGD,69,1.171182981502945,0.31,31,69
6,0,6,1,11,0.01,ReLU,SGD,43,0.9942522733438669,0.37,37,63
7,0,7,1,56,0.01,ReLU,SGD,51,0.8915981192837836,0.41,41,59
8,0,8,1,8,0.01,ReLU,SGD,6,1.0498221244986778,0.35,35,65
9,0,9,1,39,0.01,ReLU,SGD,54,0.8209805520698302,0.44,44,56
10,0,10,1,18,0.01,ReLU,SGD,-17,1.1086626245216111,0.33,33,67
11,0,11,1,54,0.01,ReLU,SGD,98,0.7339691750802004,0.48,48,52
12,0,12,1,36,0.01,ReLU,SGD,58,0.8209805520698302,0.44,44,56
13,0,13,1,62,0.01,ReLU,SGD,53,0.9942522733438669,0.37,37,63
14,0,14,1,29,0.01,ReLU,SGD,43,1.0498221244986778,0.35,35,65
15,0,15,1,10,0.01,ReLU,SGD,10,1.1394342831883648,0.32,32,68
16,0,16,1,43,0.01,ReLU,SGD,57,0.8675005677047231,0.42,42,58
17,0,17,1,32,0.01,ReLU,SGD,46,0.9675840262617056,0.38,38,62
18,0,18,1,28,0.01,ReLU,SGD,56,0.843970070294529,0.43,43,57
19,0,19,1,51,0.01,ReLU,SGD,47,0.8675005677047231,0.42,42,58
20,0,20,1,24,0.01,ReLU,SGD,106,0.8675005677047231,0.42,42,58
21,0,21,1,38,0.01,ReLU,SGD,26,1.171182981502945,0.31,31,69
22,0,22,1,26,0.01,ReLU,SGD,47,1.171182981502945,0.31,31,69
23,0,23,1,44,0.01,ReLU,SGD,64,0.916290731874155,0.4,40,60
24,0,24,1,38,0.01,ReLU,SGD,19,1.2039728043259361,0.3,30,70
25,0,25,1,44,0.01,ReLU,SGD,71,0.8675005677047231,0.42,42,58
26,0,26,1,9,0.01,ReLU,SGD,-28,1.6094379124341003,0.2,20,80
27,0,27,1,23,0.01,ReLU,SGD,67,0.941608539858445,0.39,39,61
28,0,28,1,40,0.01,ReLU,SGD,37,0.9675840262617056,0.38,38,62
29,0,29,1,15,0.01,ReLU,SGD,39,1.0498221244986778,0.35,35,65
30,0,30,1,37,0.01,ReLU,SGD,39,0.941608539858445,0.39,39,61
31,0,31,1,31,0.01,ReLU,SGD,18,0.9675840262617056,0.38,38,62
32,0,32,1,46,0.01,ReLU,SGD,44,0.8675005677047231,0.42,42,58
33,0,33,1,26,0.01,ReLU,SGD,-37,1.4271163556401458,0.24,24,76
34,0,34,1,30,0.01,ReLU,SGD,120,0.7339691750802004,0.48,48,52
35,0,35,1,23,0.01,ReLU,SGD,18,1.2039728043259361,0.3,30,70
36,0,36,1,45,0.01,ReLU,SGD,44,0.941608539858445,0.39,39,61
37,0,37,1,26,0.01,ReLU,SGD,48,1.0498221244986778,0.35,35,65
38,0,38,1,55,0.01,ReLU,SGD,43,1.0788096613719298,0.34,34,66
39,0,39,1,45,0.01,ReLU,SGD,97,0.8209805520698302,0.44,44,56
40,0,40,1,11,0.01,ReLU,SGD,-23,1.3470736479666092,0.26,26,74
41,0,41,1,54,0.01,ReLU,SGD,105,0.7765287894989963,0.46,46,54
42,0,42,1,8,0.01,ReLU,SGD,-103,1.8325814637483102,0.16,16,84
43,0,43,1,25,0.01,ReLU,SGD,61,0.7985076962177716,0.45,45,55
44,0,44,1,50,0.01,ReLU,SGD,52,0.916290731874155,0.4,40,60
45,0,45,1,51,0.01,ReLU,SGD,72,0.916290731874155,0.4,40,60
46,0,46,1,8,0.01,ReLU,SGD,23,1.2039728043259361,0.3,30,70
47,0,47,1,62,0.01,ReLU,SGD,42,0.7985076962177716,0.45,45,55
48,0,48,1,24,0.01,ReLU,SGD,41,1.2729656758128873,0.28,28,72
49,0,49,1,31,0.01,ReLU,SGD,15,1.4271163556401458,0.24,24,76
50,1,0,1,28,0.01,ReLU,SGD,16,1.1086626245216111,0.33,33,67
51,1,1,1,13,0.01,ReLU,SGD,57,1.1086626245216111,0.33,33,67
52,1,2,1,23,0.01,ReLU,SGD,45,1.0498221244986778,0.35,35,65
53,1,3,1,17,0.01,ReLU,SGD,59,0.843970070294529,0.43,43,57
54,1,4,1,57,0.01,ReLU,SGD,91,0.8675005677047231,0.42,42,58
55,1,5,1,55,0.01,ReLU,SGD,90,0.7550225842780328,0.47,47,53
56,1,6,1,36,0.01,ReLU,SGD,21,0.916290731874155,0.4,40,60
57,1,7,1,19,0.01,ReLU,SGD,49,0.9942522733438669,0.37,37,63
58,1,8,1,31,0.01,ReLU,SGD,77,0.7985076962177716,0.45,45,55
59,1,9,1,32,0.01,ReLU,SGD,114,0.8209805520698302,0.44,44,56
60,1,10,1,37,0.01,ReLU,SGD,3,1.0216512475319814,0.36,36,64
61,1,11,1,59,0.01,ReLU,SGD,31,0.9942522733438669,0.37,37,63
62,1,12,1,33,0.01,ReLU,SGD,106,0.7133498878774648,0.49,49,51
63,1,13,1,58,0.01,ReLU,SGD,56,0.7133498878774648,0.49,49,51
64,1,14,1,19,0.01,ReLU,SGD,55,0.7985076962177716,0.45,45,55
65,1,15,1,62,0.01,ReLU,SGD,30,1.0498221244986778,0.35,35,65
66,1,16,1,25,0.01,ReLU,SGD,51,0.9942522733438669,0.37,37,63
67,1,17,1,37,0.01,ReLU,SGD,60,1.0216512475319814,0.36,36,64
68,1,18,1,13,0.01,ReLU,SGD,-57,1.4271163556401458,0.24,24,76
69,1,19,1,55,0.01,ReLU,SGD,83,0.7765287894989963,0.46,46,54
70,1,20,1,9,0.01,ReLU,SGD,36,1.2378743560016174,0.29,29,71
71,1,21,1,44,0.01,ReLU,SGD,77,0.9675840262617056,0.38,38,62
72,1,22,1,44,0.01,ReLU,SGD,76,0.916290731874155,0.4,40,60
73,1,23,1,14,0.01,ReLU,SGD,6,1.2729656758128873,0.28,28,72
74,1,24,1,37,0.01,ReLU,SGD,87,0.7339691750802004,0.48,48,52
75,1,25,1,34,0.01,ReLU,SGD,45,0.916290731874155,0.4,40,60
76,1,26,1,12,0.01,ReLU,SGD,100,0.843970070294529,0.43,43,57
77,1,27,1,29,0.01,ReLU,SGD,-1,1.171182981502945,0.31,31,69
78,1,28,1,24,0.01,ReLU,SGD,34,1.0788096613719298,0.34,34,66
79,1,29,1,25,0.01,ReLU,SGD,47,1.0788096613719298,0.34,34,66
80,1,30,1,24,0.01,ReLU,SGD,28,0.9675840262617056,0.38,38,62
81,1,31,1,39,0.01,ReLU,SGD,44,0.916290731874155,0.4,40,60
82,1,32,1,38,0.01,ReLU,SGD,19,1.2039728043259361,0.3,30,70
83,1,33,1,37,0.01,ReLU,SGD,22,1.1394342831883648,0.32,32,68
84,1,34,1,60,0.01,ReLU,SGD,128,0.6539264674066639,0.52,52,48
85,1,35,1,22,0.01,ReLU,SGD,4,1.5141277326297755,0.22,22,78
86,1,36,1,26,0.01,ReLU,SGD,89,0.7985076962177716,0.45,45,55
87,1,37,1,60,0.01,ReLU,SGD,85,0.8675005677047231,0.42,42,58
88,1,38,1,9,0.01,ReLU,SGD,-23,1.4696759700589417,0.23,23,77
89,1,39,1,23,0.01,ReLU,SGD,74,0.843970070294529,0.43,43,57
90,1,40,1,29,0.01,ReLU,SGD,30,0.9675840262617056,0.38,38,62
91,1,41,1,45,0.01,ReLU,SGD,86,0.7550225842780328,0.47,47,53
92,1,42,1,51,0.01,ReLU,SGD,77,0.8675005677047231,0.42,42,58
93,1,43,1,52,0.01,ReLU,SGD,66,0.843970070294529,0.43,43,57
94,1,44,1,54,0.01,ReLU,SGD,40,0.916290731874155,0.4,40,60
95,1,45,1,19,0.01,ReLU,SGD,30,1.1394342831883648,0.32,32,68
96,1,46,1,17,0.01,ReLU,SGD,-10,1.2039728043259361,0.3,30,70
97,1,47,1,22,0.01,ReLU,SGD,39,0.916290731874155,0.4,40,60
98,1,48,1,12,0.01,ReLU,SGD,26,1.3093333199837622,0.27,27,73
99,1,49,1,11,0.01,ReLU,SGD,7,1.171182981502945,0.31,31,69
100,2,0,1,61,0.01,ReLU,SGD,114,0.7339691750802004,0.48,48,52
101,2,1,1,13,0.01,ReLU,SGD,25,1.6607312068216509,0.19,19,81
102,2,2,1,47,0.01,ReLU,SGD,56,1.1394342831883648,0.32,32,68
103,2,3,1,8,0.01,ReLU,SGD,-14,1.171182981502945,0.31,31,69
104,2,4,1,53,0.01,ReLU,SGD,87,0.6931471805599453,0.5,50,50
105,2,5,1,51,0.01,ReLU,SGD,19,1.0788096613719298,0.34,34,66
106,2,6,1,52,0.01,ReLU,SGD,59,0.9675840262617056,0.38,38,62
107,2,7,1,54,0.01,ReLU,SGD,121,0.6348782724359695,0.53,53,47
108,2,8,1,33,0.01,ReLU,SGD,14,1.3862943611198906,0.25,25,75
109,2,9,1,19,0.01,ReLU,SGD,90,0.6931471805599453,0.5,50,50
110,2,10,1,39,0.01,ReLU,SGD,47,0.941608539858445,0.39,39,61
111,2,11,1,63,0.01,ReLU,SGD,70,0.7985076962177716,0.45,45,55
112,2,12,1,37,0.01,ReLU,SGD,36,0.916290731874155,0.4,40,60
113,2,13,1,23,0.01,ReLU,SGD,44,1.0788096613719298,0.34,34,66
114,2,14,1,22,0.01,ReLU,SGD,67,0.916290731874155,0.4,40,60
115,2,15,1,53,0.01,ReLU,SGD,59,1.0216512475319814,0.36,36,64
116,2,16,1,26,0.01,ReLU,SGD,81,0.9942522733438669,0.37,37,63
117,2,17,1,38,0.01,ReLU,SGD,73,0.9675840262617056,0.38,38,62
118,2,18,1,59,0.01,ReLU,SGD,82,0.7550225842780328,0.47,47,53
119,2,19,1,61,0.01,ReLU,SGD,50,0.8915981192837836,0.41,41,59
120,2,20,1,48,0.01,ReLU,SGD,21,1.0788096613719298,0.34,34,66
121,2,21,1,56,0.01,ReLU,SGD,18,1.0788096613719298,0.34,34,66
122,2,22,1,12,0.01,ReLU,SGD,68,0.8675005677047231,0.42,42,58
123,2,23,1,8,0.01,ReLU,SGD,10,1.4271163556401458,0.24,24,76
124,2,24,1,53,0.01,ReLU,SGD,65,1.0788096613719298,0.34,34,66
125,2,25,1,59,0.01,ReLU,SGD,116,0.6539264674066639,0.52,52,48
126,2,26,1,54,0.01,ReLU,SGD,85,0.6931471805599453,0.5,50,50
127,2,27,1,43,0.01,ReLU,SGD,17,1.0788096613719298,0.34,34,66
128,2,28,1,37,0.01,ReLU,SGD,70,0.843970070294529,0.43,43,57
129,2,29,1,38,0.01,ReLU,SGD,83,0.8915981192837836,0.41,41,59
130,2,30,1,43,0.01,ReLU,SGD,70,0.843970070294529,0.43,43,57
